Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Afghanistan,518.73,633.73,652.74,701.67,774.14,599.55,660.82,581.51,478.58,356.81,359.01,359.14,330.1,282.62,252.16,302.53,310.07,318.24,295.8,297.75,289.07,269.72,318.68,327.33,323.02,350.6,358.23,404.3,415.34,490.41,548.57,539.12,594.64,614.05,616.61,611.32,610.74,612.54,609.34,612.42,584.05,456.37,411.56,393.02,393.91,395.08,396.54,398.48,400.43
Albania,1740.98,1805.29,1821.2,1804.19,1745.51,1740.12,1802.41,1753.39,1694.59,1826.94,1626.99,1194.92,1148.4,1260.53,1345.5,1502.06,1615.51,1429.36,1561.69,1777.07,1918.01,2097.17,2213.59,2357.59,2507.11,2664.22,2839.01,3023.07,3257.92,3368.85,3488.57,3568.14,3608.85,3634.67,3688.38,3758.93,3871.63,4006.44,4157.2,4237.37,4086.82,4440.16,4644.78,4755.9,4904.18,5092.92,5306.12,5486.35,5639.97
Algeria,3256.86,3250.68,3350.53,3420.94,3500.86,3520.22,3435.32,3321.44,3197.11,3250.26,3194.49,3078.49,3054.93,2917.96,2828.8,2877.91,2942.31,2925.91,3028.58,3080.38,3152.23,3200.9,3332.28,3521.74,3619.36,3778.56,3784.92,3846.68,3868.8,3858.4,3921.5,3957.67,4014.16,4048.48,4123.73,4197.53,4254.22,4235.55,4224.08,4190.73,3915.22,3991.3,4095.69,4140.37,4162.17,4189.77,4203.33,4219.96,4245.03
Angola,3624.01,3381.14,3297.53,3317.73,3394.3,3401.7,3382.97,3415.21,3513.32,3404.7,3179.86,3102.69,2819.25,2063.59,2013.05,2230.64,2447.02,2541.6,2578.81,2555.19,2555.96,2585.16,2840.92,2814.38,2996.57,3316.08,3565.94,3917.65,4195.39,4074.63,4114.67,4102.08,4286.8,4331.31,4374.47,4257.4,4001.3,3856.32,3648.91,3493.91,3184.1,3112.07,3108.68,3081.51,3066.07,3072.34,3060.19,3051.31,3045.41
Antigua and Barbuda,6164.26,6425.86,6444.63,7037.43,7891.07,8503.75,9480.56,10106.27,10631.65,11197.35,11574.67,11851.94,11776.59,12183.45,12774.6,11999.86,12546.83,12974.37,13340.29,13604.09,14257.29,13306.74,13235.85,13836.86,14425,15145.26,16852,18173.6,17932.32,15556.85,14192.56,13735.67,14018.08,13757.97,14102.02,14460.74,15069.1,15354.03,16289.38,16842.91,13730.58,14459.03,15500.78,15669.09,15941.4,16170.29,16407.38,16650.81,16914.58
Argentina,10146.05,9460.02,9236.16,9487.86,9497.55,8875.22,9278.19,9384.63,9145.07,8367.45,8046.39,8658.4,9218.4,9847.3,10290.5,9876.7,10303.06,11009.4,11303.12,10800.53,10597,10021.48,8837.71,9519.49,10268.21,11057.32,11828.58,12774.47,13162.43,12258.64,13364.69,14020.11,13736.69,13928.76,13445.7,13680.35,13269.99,13499.07,13045.92,12651.74,11296,12365.82,12907.03,12899.26,12960.28,13048.25,13146.8,13277.22,13461.81
Armenia,1461.44,1476.37,1491.02,1506.73,1522.63,1539.58,1558.3,1578.28,1598.86,1735.13,1654.63,1436.63,855.27,822.28,902.05,985.18,1046.36,1083.69,1165.21,1204.5,1277.22,1400.09,1586.51,1812.97,2004.76,2285.36,2589.53,2946.68,3152.19,2709.67,2771.35,2903.89,3115.55,3221.41,3341.17,3452.89,3465.61,3732.94,3936.01,4246.11,3953.66,4192.56,4737.89,5098.27,5388.66,5679.15,5967.25,6279.1,6613.57
Australia,31151.14,31571.86,32154.22,31101.89,32231,33570.23,34522.89,34873.7,36274.1,37035.52,37726.26,37032.42,36716.52,37781.14,38898.23,39947.91,40989.04,42101.05,43536.08,45230.24,46452.8,46751.4,48016.3,48864.2,50258.37,51253.98,52002.68,53130.79,53949.03,53879.73,54076.64,54550.6,55732.85,56218.55,56787.05,57230.89,57928.94,58351.41,59150.09,59393.74,57506.67,59692.47,61093.39,61226.34,61932.65,63071.84,64300.28,65509.89,66677.39
Austria,25510.48,25422.5,25899.62,26746.33,26755.66,27403.73,28003.04,28343.16,29196.84,30220.13,31145.12,31823.62,32093.55,31965.26,32574.32,33360.73,34087.71,34762.45,35968.46,37176.13,38339.98,38691.57,39154.79,39342.61,40186.06,40833.78,42054.38,43479.24,43971.46,42207.33,42883.82,43995.62,44097.7,43853.31,43870.76,44061.55,44740.55,45627.53,46526.7,47091.08,43854.59,45779.75,47907.36,47991.71,48374.09,48990.41,49664.36,50308.06,50960.11
Azerbaijan,3002.13,3034.78,3067.83,3100.76,3131.25,3165.67,3205,3244.17,3287.5,3074.99,2743.17,2686.75,2048.05,1550.62,1227.45,1069.38,1071.6,1122.01,1221.56,1299.48,1430.99,1559.89,1694.16,1853.04,2007.16,2542.89,3383.39,4199.77,4595.62,4973.95,5158.99,5026.18,5084.79,5327.72,5422.46,5426.39,5211.14,5172.65,5205.67,5278.15,5017.68,5260.94,5466.06,5539.45,5630.09,5730.04,5835.04,5933.75,6028.21
Bahamas,30592.14,27289.9,28624.25,29153.33,32727.52,33769.61,33896.82,34453.66,34771.06,36566.29,35412.75,33362.68,31548.55,31142.33,31649.2,32578.1,33486.82,33715.95,34867.24,36915.07,37999.7,38575.11,39221.09,38357.13,38338.24,39286.72,39928.31,40145.87,38858.37,36893.91,37114.79,36998.3,37794.19,36350.92,36299.73,36205.82,36065.29,35765.23,36002.13,36327.62,27433.65,30929.7,33126.68,34258.5,34981.34,35529.67,35925.92,36318.36,36679.01
Bahrain,22183.5,20082.37,17863.05,18284.11,18489.16,16963.97,16532.38,17596.17,18181.74,17626.08,17787.79,19147.48,19839.84,21800.74,21176.85,21458.29,21800.96,21946.21,22468.89,22894.92,23559.94,23527.94,22861.77,22242.25,21911.88,21662.28,21460.02,21713.74,21950.74,21779.09,22035.35,21831.85,22035.46,22631.12,23026.98,23114.18,23356.96,23697.42,23630.75,23549.56,21994.02,22251.92,23127.13,23528.33,23952.39,24353.94,24732.06,25100.1,25448.71
Bangladesh,439.34,445.99,444.03,449.91,460.2,464.5,472.78,479.37,479.76,482.22,497.97,504.82,521.24,534.76,544.68,561.69,576.14,590.77,609.62,626.42,648.34,670.27,685.2,707.12,733.81,771.52,812.75,860.32,902.85,938.23,979.28,1031.1,1086.48,1139.65,1196.26,1261.86,1337.86,1420.43,1516.54,1623.81,1663.42,1761.86,1858.78,1927.45,2017.12,2124.19,2228.75,2337.09,2448.38
Barbados,14169.75,13878.8,13140.6,13135.37,13540.97,13629.39,14268.59,14589.76,15053.03,15526.9,14946.25,14304.88,13425.93,13476.64,13699.62,13921.38,14413.42,15026.64,15516.12,15498.92,16118.62,15667.16,15715.52,15980.52,16132.22,16697.33,17609.35,17923.7,17976.83,16998.58,16548.05,16376.32,16243.47,15959.97,15887.54,16224.83,16576.17,16594.75,16441.96,16372.95,14150.21,14083,15429.08,16102.7,16515.42,16849.71,17167.03,17458.29,17702.21
Belarus,2252.14,2305.29,2360.54,2417.14,2474.53,2533.82,2595.94,2662.11,2730.34,2805.26,2887.38,2851.42,2572.03,2371.32,2096.35,1884.43,1943.72,2174.31,2365.54,2452.8,2602.89,2735.12,2885.99,3104.84,3477.63,3823.62,4224.39,4602.01,5082.52,5100.95,5507.97,5815.38,5924.49,5994.93,6109.75,5887.02,5749.87,5908.95,6109.75,6200.27,6175.26,6333.68,6064.12,5935.76,6024.68,6142.76,6261.75,6393.78,6535.01
Belgium,24416.37,24334.34,24469.44,24547.69,25153.69,25561.66,26018.09,26595.58,27812.86,28622.24,29426.62,29860.67,30193.59,29785.14,30632.44,31262.44,31602.52,32734.34,33320.21,34437.88,35620.51,35911.39,36404.35,36631.48,37777.54,38448.59,39181.57,40336.47,40203.58,39081.18,39874.61,40192.13,40139.26,39998.22,40309.09,40811.62,41106.01,41596.2,41930.76,42244.01,39729.59,41974.12,43086.67,43327.11,43621.98,44280.34,44769.5,45259.52,45800.46
Belize,2515.23,2446.8,2366.42,2256.04,2240.83,2191.24,2199.85,2360.29,2513.89,2749.79,2986.35,3245.22,3540.76,3659.04,3565.05,3492.23,3449.77,3480.85,3537.13,3788.87,4204.61,4298.01,4380.98,4657.7,4749.24,4713.75,4813.14,4714.88,4758.42,4652.67,4678.33,4658.22,4664.68,4623.79,4692.17,4728.95,4641.19,4639.48,4650.81,4581.49,3900.45,4418.93,4437.86,4442.29,4478.06,4527.81,4545.15,4563.06,4581.04
Benin,820.25,874.14,866.14,802.94,839.79,874.71,865.66,826.15,827.7,778.84,821.73,828.91,825.8,833.59,818.26,850.19,863.82,886.05,891.97,909.35,931.44,949.21,961.4,963.53,975.76,960.99,967.94,995.53,1011.82,1002.49,990.84,987.14,1000.97,1038.04,1067.71,1050.4,1048.88,1070.88,1104.15,1140.46,1144.93,1186.22,1215.98,1244.42,1276.26,1339.34,1394.31,1438.85,1480.68
Bhutan,352.22,387.38,386.96,416.23,420.45,423.82,458.29,571.1,580.89,606.66,656.09,642.64,698.34,743.04,782.51,850.31,899.19,931.84,969.35,1028.54,1081.26,1152.31,1258.61,1336.13,1395.22,1475.22,1556.36,1817.1,1879.28,1980.5,2189.5,2335.65,2426.19,2448.93,2560.92,2700.56,2888.09,2989.9,3047.81,3176.05,2828.77,2915.24,3011.12,3179.06,3347.39,3515.12,3688.04,3867.14,4051.11
Bolivia,2174.73,2139.86,2020.23,1906.4,1870.99,1808.43,1730.85,1740.36,1754.85,1781.67,1821.51,1872.55,1858.66,1893.81,1938.11,1984.75,2027.46,2083.45,2142.64,2107.11,2115.26,2106.58,2114.7,2128.05,2172.77,2224.58,2286.75,2346.42,2445.21,2482.31,2540.01,2626.97,2715.55,2852.68,2960.22,3055.32,3136.59,3219.26,3305.89,3330.42,2999.53,3144.77,3217.12,3272.09,3328.06,3400.37,3474.78,3550.47,3631.4
Bosnia and Herzegovina,476.24,486.1,498.03,510.59,523.55,536.9,550.83,565.29,580.21,595.89,819.04,740.16,725.94,768.27,670.46,830.08,1563.02,2082.05,2385.89,2548.1,2625.89,2729.35,2870.79,2973.11,3126.68,3386.4,3568.64,3780.1,3988.2,3870.45,3902.19,3940.21,3915.73,4011.48,4061.81,4192.22,4329.85,4428.56,4600.95,4728.39,4581.71,4918.43,5124.63,5229.85,5381.54,5568.93,5774.18,5988.47,6210.71
Botswana,1878.11,1973.91,2131.85,2326.06,2438.35,2526.38,2647.14,2871.22,3325.79,3647.33,3778.81,3942.45,3934.04,3883.27,3902.38,4055.78,4173.96,4403.86,4315.87,4627.03,4621.93,4542.44,4729.05,4861.35,4905.27,5038.76,5364.63,5707.58,5959.51,5409.69,5774.27,6022.04,6187.32,6777.25,6944.87,6718.48,6897.76,6988.4,7190.35,7293,6559.08,7199.95,7552.85,7754.06,7991.47,8227.14,8463.85,8697.79,8929.62
Brazil,6418.22,5992.8,5888.45,5559.25,5721.21,6042.04,6391.25,6490.84,6360.71,6448.4,6139.14,6128,6000.01,6179.77,6408.01,6589.24,6633.99,6757.63,6681.09,6614.97,6806.17,6804.18,6917.45,6905.87,7213.29,7356.53,7562.17,7935.29,8254.33,8163.69,8696.91,8961.96,9055.04,9248.79,9219.85,8823.15,8469.27,8517.4,8567.21,8603.91,8241.76,8633.91,8837.85,8921.96,9063.5,9286.98,9544.28,9800.43,10073.48
Brunei,58958.01,45402.89,45767.88,44630.83,43565.36,41613.07,39241.02,38805.67,38072.02,36594.54,35964.25,36184.63,36978.67,36093.35,36247.29,36885.89,36974.03,35524.22,34482.27,34710.24,34887.62,35052.2,35623.95,35890.89,35354.64,34822.82,35691.13,35101.38,33807.32,32627.39,32895.98,33545.25,33280.41,32029.79,30712.32,30095.46,28880.93,28804.01,28371.78,29019.06,28907.18,28027.18,26514.87,26971.96,27404.53,27827.2,28231.7,28621.87,28989.18
Bulgaria,3368.63,3523.37,3596.44,3712.22,3830.57,3926.63,4084.9,4325.86,4793.93,4632.07,4255.2,3949.86,3710.78,3749.67,3853.77,4001.87,4248.51,3682.75,3880.49,3590.01,3790.15,3965.76,4235.71,4489.4,4814.2,5195.54,5587.63,5992.8,6395.09,6207.26,6273.77,6456.71,6517.13,6574.47,6735.89,7044.87,7356.62,7661.11,7946.94,8267.77,7987.9,8612.67,8998.76,9122.17,9432.2,9810.77,10233.15,10624.75,11009.94
Burkina Faso,340.68,346.61,370.44,362.43,346.93,366.72,384.97,372.73,382,377.61,363.07,382.95,371.11,371.21,362.85,370.56,397.56,413.09,432.91,451.71,446.92,459.44,458.07,476.51,484.68,512.56,529.88,536.53,551.75,551.95,581.4,601.99,621.53,637.92,646.46,652.51,671.8,693.21,720.13,740.65,735.13,765.71,765,780.19,805.09,831.48,855.38,877.96,899.43
Burundi,359.83,388.51,376.27,381.2,373.86,410.06,416.31,429.71,441.16,438.03,443.91,456.09,447.75,436.7,418.99,361.52,332.45,326.88,334.65,321.92,311.32,308.68,312.55,298.56,301.21,292.78,297.85,297.24,299.45,295.83,297.4,299.56,302.98,307.78,311.22,293.52,287.81,283.15,280.78,278.56,271.78,267.73,263.29,261.57,264.25,271.07,277.85,284.34,290.7
Cabo Verde,580.67,621.87,631.26,682.15,698.24,748.05,758.86,780.56,815.78,850.26,844.58,838.98,905.51,958.16,1112.56,1239.33,1347.19,1462.88,1610.23,1753.97,1965.12,1970.84,2036.02,2083.18,2256.07,2372.03,2520.11,2856.53,2999.44,2916.65,2915.93,2987.95,2977.2,2958.84,2935.52,2924.58,3021.04,3091.64,3189.65,3327.07,2799.4,2956.96,3438.02,3546.53,3673.5,3806.22,3945,4089.37,4239.03
Cambodia,429.03,438.52,446.88,454.85,467.85,482,490.04,496.22,535.73,534.64,521.83,541.82,554.92,543.21,342.83,368.07,381.28,388.53,399.13,442.07,481.63,509.72,535.17,572.08,622.12,694.62,757.97,821.98,862.01,847.62,882.79,929.25,980.47,1035.1,1090.9,1149.04,1210.68,1273.73,1348.56,1422.86,1361.3,1386.24,1439.51,1504.08,1579.7,1664.54,1756.32,1850.32,1947.51
Cameroon,1205.75,1357.95,1423.34,1488.61,1553.4,1625.18,1679.1,1590.99,1421.67,1353.59,1232.09,1149.09,1080.02,964.66,956.03,960.47,973.72,995.86,1011.86,1026.42,1034.16,1050.29,1064.74,1082.87,1125.34,1117.57,1125.57,1148.16,1154.4,1146.5,1152.85,1167.94,1188.26,1218.46,1251.07,1280.36,1301.17,1311.43,1328.82,1344.42,1314,1324.67,1337.62,1357.45,1379.83,1405.17,1433.77,1458.9,1480.21
Canada,25376.96,25935.15,24807.75,25198.71,26432.65,27428.96,27736.96,28490.59,29365.35,29514.06,29125.13,28185.61,28013.94,28353.64,29246.69,29670.7,29813.93,30803.47,31409.88,32372.39,33659.36,33830.93,34696.49,35738.3,36853.45,38389,39641.24,41938.08,41869.61,40151.09,40902.18,41704.3,41948.85,42426.23,43202.25,43100.5,43131.9,44103.19,44612.29,44979.06,42357.31,44135.96,45289.52,45596.32,46015.93,46574.06,47178.19,47740.39,48309.86
Central African Republic,573.67,549.83,576.77,516.2,546.67,550.37,557.49,517.73,512.81,508.54,483.89,467.64,425.27,413.96,421.86,442.22,415.48,427.38,436.79,441.9,421.08,431.85,439.39,407.14,424.12,420.69,432.25,442.73,442.33,470.12,481.43,490.97,504.86,314.34,307.95,314.53,322.55,332.44,341.46,346.52,343.6,340.8,336.44,337.79,345.17,353.59,361.44,368.55,374.34
Chad,323.39,327,328.31,361.25,364.34,439.75,409.44,386.15,432.31,440.43,412.5,433.43,450.12,383.32,414.77,403.09,395.4,404.92,419.45,402.82,385.94,416.46,435.56,478.68,609.84,685.53,664.14,661.23,656.67,659.09,721.77,696.28,731.01,744.67,767.25,763.11,692.63,649.75,643.92,643.82,610.25,584.81,585.91,588.11,591.13,591.96,594.07,596.38,598.7
Chile,4951.13,5190.52,4540.38,4238.49,4339.63,4441.71,4606.28,4824.61,5092.28,5501.37,5582.67,5908.11,6451.73,6759.92,6983.02,7488.55,7880.77,8345.64,8587.05,8439.62,8781.35,8969.06,9148.14,9424.98,10006.48,10481.49,11039.14,11472.08,11762.86,11466.63,12022.38,12640.07,13193.51,13607.93,13731.15,13931.66,14056.16,14112.64,14559.34,14605.33,13573.79,15087.74,15361.02,15242.57,15441.48,15706.96,16018.88,16369.55,16744.17
China,427.91,444.46,476.71,520.16,590.58,660.24,708.14,776.94,849.28,870.76,890.79,960.95,1084.65,1221.41,1365.93,1499.89,1633.42,1769.49,1893.89,2025.38,2184.12,2353.16,2554.46,2796.42,3063.38,3394.39,3805.37,4323.5,4715.86,5132.95,5651.5,6162.39,6616.11,7097.87,7590.92,8088.97,8604.86,9164.13,9744.8,10303.39,10507.02,11370.31,11682.92,12305.44,12930.91,13551.81,14190.26,14842.36,15509.59
Colombia,3235.11,3237.81,3196.73,3175.28,3209.43,3236.61,3350.46,3453.7,3516.51,3559.27,3634.81,3632.5,3704.1,3827.6,3973.19,4106.18,4126.66,4208.98,4176.06,3955.76,4035.2,4060.94,4111.13,4214.39,4377.19,4526,4765.85,5021.17,5120.67,5115.44,5281.53,5582.78,5735.36,5963.02,6164,6279.47,6344.82,6356.98,6443.41,6584.15,6032.23,6650.3,7104.89,7105.95,7198.52,7408.07,7667,7926.38,8194.81
Costa Rica,6400.31,6101.22,5500.19,5498.92,5770.7,5643.73,5783.25,5894.39,5938.06,6113.34,6176.9,6174.41,6581.92,6857.58,6962.88,7052.99,6956,7162.18,7478.41,7596.51,7720.27,7841.05,7968.76,8179.97,8405.28,8602.03,9092.68,9696.01,10003.38,9768.86,10113.73,10410.24,10768.93,10873.52,11115.41,11378.14,11719.09,12028.87,12207.67,12323.2,11668.69,12444.08,12846.94,13139.12,13507.22,13863.42,14178.45,14501.64,14846.92
Côte d'Ivoire,2694.39,2703.79,2627.42,2449.04,2311.35,2342.79,2346.21,2267.25,2209.15,2178.31,2017.95,1903.75,1842.23,1770.21,1701.64,1756.53,1838.59,1858.61,1906.67,1888.91,1802.79,1759.09,1689.59,1626.29,1600.83,1584.71,1566,1549.49,1544.8,1553.1,1545.52,1446.15,1565.05,1661.44,1763.41,1873.4,1959.91,2054.57,2144.04,2239.27,2232.25,2336.41,2429.54,2519.9,2609.42,2708.1,2803.42,2891.28,2973.48
Croatia,6981.71,7136.42,7191.65,7418.64,7780.49,8133.58,8163.56,8378.43,8206.21,8368.21,9450.89,7404.75,6610.16,7320.81,7323.51,7376.51,7869.15,8440.26,8658.06,8610.35,8887.72,9126.38,9541.99,10083.43,10501.6,10953.35,11504.64,12119.37,12341.22,11446.73,11304.69,11304.98,11087.07,11063.03,11098.24,11425.09,11882.16,12315.8,12710.22,13148.16,12079.45,13725.39,14664.49,14925.9,15386.22,15848.91,16319.7,16795.35,17267.99
Cuba,3665.55,4360.82,4708.05,4915.12,5253.72,5284.15,5238.03,5064.53,5200.02,5181.89,4977.98,4404.12,3863.86,3267.92,3278.34,3350.27,3599.08,3682.1,3671.17,3883.09,4098.41,4216.84,4264.96,4414.55,4661.31,5180,5805.68,6230.04,6488.33,6581.24,6737.71,6925.36,7135.52,7338.82,7423.95,7769.99,7833.69,7998.82,8201.58,8258.72,7377.1,7490.77,7657.41,7842.41,8010.66,8205.78,8426.24,8662.64,8914.36
Cyprus,8591.75,8700.63,9120.55,9465.79,10117.95,10436.13,10647.1,11217.49,11992.45,12699.09,13306.32,13034.25,13857.21,13587.4,14051.56,14900.73,14790.83,14913.07,15578.62,16120.2,16843.99,17266.59,17641.15,17769.16,18236.21,18675.71,19171.2,19805.17,20182.79,19449.15,19518.39,19285.22,18332.83,16874.48,16319.1,16632.36,17513.28,18036.99,18531.63,18898.63,17864.48,18838.85,19691.16,19908.68,20250.04,20721.69,21144.93,21543.5,21928.58
Czech Republic,8979.09,9248.55,9529.22,9820.9,10122.34,10434.45,10758.56,11088.33,11428.84,11781.66,11616.98,10272.01,10209.54,10205.24,10498.35,11158.33,11643.08,11586.32,11559.19,11736.8,12251.33,12630.54,12857.29,13317.27,13958.9,14842.2,15808.13,16589.08,16887.13,15980.07,16292.84,16547.47,16386.47,16279.46,16693.64,17551.22,17954.18,18712.59,19225.41,19702.54,18603.96,19246.17,19714.53,19722.27,20272.66,20877.1,21452.43,22010.75,22539.54
Democratic Republic of Congo,928.41,924.87,895.38,884.96,908.12,884.85,898.61,893.59,869.27,831,751.06,664.67,575.94,481.75,447.15,432.12,418.9,388.21,372.89,345.99,312.31,296.37,295.78,303.16,314.14,323.24,329.69,339.06,348.42,346.54,358.71,370.17,382.88,401.21,424.27,438.55,434.15,435.6,446.33,451.26,444.71,455.45,468.25,482.84,499.84,518.01,535.29,552.94,570.11
Denmark,32073.64,31869.04,33067.57,33949.33,35382.23,36783.94,38536.32,38585.4,38561.41,38786.94,39295.13,39739.2,40383.38,40255.42,42261.78,43316.55,44323.2,45581.54,46424.75,47637.34,49262.22,49492.89,49566.93,49630.62,50827.7,51873.42,53727.73,53967.87,53366.08,50469.91,51179.95,51645.48,51558.74,51811.13,52370.14,53210.39,54505.15,55229.23,56199.8,57215.52,55809.78,58264.03,60222.66,60469.59,60994.64,61898.1,62869.46,63808.74,64698.5
